Año;Mes;Dia;Hora;minutos;segundos;Temperatura;Precipitacion;Humedad;Rendimiento
2007;12;29;0;0;0;28.8;0;96;6,3
2007;12;30;0;0;0;26.4;1.8;90;6,3
2007;12;31;0;0;0;29.4;0;0;6,3
2008;1;1;0;0;0;28.8;0;85;6
2008;1;2;0;0;0;27.6;2.5;82;6
2008;1;3;0;0;0;27;0;89;6
2008;1;4;0;0;0;28.2;0;87;6
2008;1;5;0;0;0;29.6;0;76;6
2008;1;6;0;0;0;30.4;4.2;78;6
2008;1;7;0;0;0;27.8;27.5;91;6
2008;1;8;0;0;0;27.4;45;91;6
2008;1;9;0;0;0;25.6;7;89;6
2008;1;10;0;0;0;26.4;0.2;93;6
2008;1;11;0;0;0;27.2;0;96;6
2008;1;12;0;0;0;28;0;89;6
2008;1;13;0;0;0;28.6;0;85;6
2008;1;14;0;0;0;29;3.7;85;6
2008;1;15;0;0;0;28.4;3;90;6
2008;1;16;0;0;0;26.8;0.2;91;6
2008;1;17;0;0;0;26.2;27;96;6
2008;1;18;0;0;0;28.2;0.7;95;6
2008;1;19;0;0;0;30;0;0;6
2008;1;20;0;0;0;28.6;0;83;6
2008;1;21;0;0;0;29;0;87;6
2008;1;22;0;0;0;29.6;0.8;85;6
2008;1;23;0;0;0;29.2;42;83;6
2008;1;24;0;0;0;28.4;1.1;89;6
2008;1;25;0;0;0;26.4;10;91;6
2008;1;26;0;0;0;27;30;93;6
2008;1;27;0;0;0;26;6.5;95;6
2008;1;28;0;0;0;27.8;0;84;6
2008;1;29;0;0;0;28;0;82;6
2008;1;30;0;0;0;27.6;0;79;6
2008;1;31;0;0;0;28.2;0;81;6
2008;2;1;0;0;0;26.8;0;77;6
2008;2;2;0;0;0;25.2;0;81;6
2008;2;3;0;0;0;27.2;0;84;6
2008;2;4;0;0;0;28.6;0;81;6
2008;2;5;0;0;0;29.6;0;74;6
2008;2;6;0;0;0;29.4;0;86;6
2008;2;7;0;0;0;29;39;88;6
2008;2;8;0;0;0;29.8;7;0;6
2008;2;9;0;0;0;27.2;11;86;6
2008;2;10;0;0;0;27.6;0;0;6
2008;2;11;0;0;0;26.4;1.5;93;6
2008;2;12;0;0;0;30;0.1;93;6
2008;2;13;0;0;0;29.2;7;86;6
2008;2;14;0;0;0;28.2;0.2;91;6
2008;2;15;0;0;0;28.8;0.7;100;6
2008;2;16;0;0;0;26.2;0.5;93;6
2008;2;17;0;0;0;27.2;0.5;91;6
2008;2;18;0;0;0;28;60;86;6
2008;2;19;0;0;0;27.4;27;93;6
2008;2;20;0;0;0;27.8;75;93;6
2008;2;21;0;0;0;26;20;91;6
2008;2;22;0;0;0;27.6;5;91;6
2008;2;23;0;0;0;28.8;0;0;6
2008;2;24;0;0;0;30.2;18;88;6
2008;2;25;0;0;0;28.4;0;81;6
2008;2;26;0;0;0;28.6;0;80;6
2008;2;27;0;0;0;28.2;0;83;6
2008;2;28;0;0;0;25.4;9;91;6
2008;2;29;0;0;0;29.2;10.3;0;6
2008;3;1;0;0;0;29;0;84;6
2008;3;2;0;0;0;28.6;0;81;6
2008;3;3;0;0;0;29.2;12;78;6
2008;3;4;0;0;0;28.2;30;91;6
2008;3;5;0;0;0;27.2;0;93;6
2008;3;6;0;0;0;26.4;90;88;6
2008;3;7;0;0;0;28;5;84;6
2008;3;8;0;0;0;27.8;0;82;6
2008;3;9;0;0;0;27.6;2.7;94;6
2008;3;10;0;0;0;26.8;1.1;88;6
2008;3;11;0;0;0;26.4;26;91;6
2008;3;12;0;0;0;28.4;6;84;6
2008;3;13;0;0;0;26;8.5;87;6
2008;3;14;0;0;0;26.6;3.6;98;6
2008;3;15;0;0;0;29.4;0;87;6
2008;3;16;0;0;0;29.2;27;86;6
2008;3;17;0;0;0;28.6;0;94;6
2008;3;18;0;0;0;30.6;0;88;6
2008;3;19;0;0;0;29.2;9;90;6
2008;3;20;0;0;0;29.4;120;91;6
2008;3;21;0;0;0;27.4;0;88;6
2008;3;22;0;0;0;28.2;2.4;88;6
2008;3;23;0;0;0;28.4;2.2;0;6
2008;3;24;0;0;0;30.4;0;87;6
2008;3;25;0;0;0;28;62;91;6
2008;3;26;0;0;0;29;22;87;6
2008;3;27;0;0;0;28.2;2.8;89;6
2008;3;28;0;0;0;27.8;0.5;87;6
2008;3;29;0;0;0;27.4;17.5;82;6
2008;3;30;0;0;0;25.6;0;95;6
2008;3;31;0;0;0;26.4;32;95;6
2008;4;1;0;0;0;25.8;2.5;87;6
2008;4;2;0;0;0;27.6;48;88;6
2008;4;3;0;0;0;25.2;0;93;6
2008;4;4;0;0;0;29;0;84;6
2008;4;5;0;0;0;29.4;18;78;6
2008;4;6;0;0;0;29.2;1.8;96;6
2008;4;7;0;0;0;27.2;0;91;6
2008;4;8;0;0;0;29.8;0;91;6
2008;4;9;0;0;0;29.6;3.5;86;6
2008;4;10;0;0;0;28;10.6;86;6
2008;4;11;0;0;0;26.4;0;89;6
2008;4;12;0;0;0;30;0.2;86;6
2008;4;13;0;0;0;27.4;0;89;6
2008;4;14;0;0;0;29;2.8;86;6
2008;4;15;0;0;0;28.2;0;89;6
2008;4;16;0;0;0;29.2;0;91;6
2008;4;17;0;0;0;30;0;70;6
2008;4;18;0;0;0;29.2;0;74;6
2008;4;19;0;0;0;31.6;0;0;6
2008;4;20;0;0;0;29;0;85;6
2008;4;21;0;0;0;26.2;30;85;6
2008;4;22;0;0;0;30.6;41.3;93;6
2008;4;23;0;0;0;27;28.2;93;6
2008;4;24;0;0;0;27.2;9.3;93;6
2008;4;25;0;0;0;25.2;19;98;6
2008;4;26;0;0;0;27.6;70.5;93;6
2008;4;27;0;0;0;26.4;19.2;96;6
2008;4;28;0;0;0;28.8;48;84;6
2008;4;29;0;0;0;29.4;0.8;91;6
2008;4;30;0;0;0;28.4;0.6;93;6
2008;5;1;0;0;0;29;62;83;6
2008;5;2;0;0;0;28;4.5;93;6
2008;5;3;0;0;0;27.6;27;93;6
2008;5;4;0;0;0;26.4;20;93;6
2008;5;5;0;0;0;27.2;11.4;93;6
2008;5;6;0;0;0;26;0;91;6
2008;5;7;0;0;0;29.6;0;91;6
2008;5;8;0;0;0;28.8;0;95;6
2008;5;9;0;0;0;28.4;0;83;6
2008;5;10;0;0;0;30.6;0;84;6
